Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,_equity_curve,_trades
2023-09-27 00:00:00-04:00,2024-05-30 00:00:00-04:00,246 days,38.23529411764706,1765.0855287475583,1809.0455202026365,76.50855287475584,127.83543976748703,132.16349965538967,82.22084494105182,1.6074208401792052,8.04841304070034,14.848629556998388,-8.900720376117066,-4.572823451761209,15 days,8 days,2,100.0,35.15330884319552,33.808118275951074,34.479031581419605,54 days,46 days,,34.480713559573296,6.273360345436459,SmaCross,"                                Equity  DrawdownPct DrawdownDuration
Date                                                                
2023-09-27 00:00:00-04:00  1000.000000     0.000000              NaT
2023-09-28 00:00:00-04:00  1000.000000     0.000000              NaT
2023-09-29 00:00:00-04:00  1000.000000     0.000000              NaT
2023-10-02 00:00:00-04:00  1000.000000     0.000000              NaT
2023-10-03 00:00:00-04:00  1000.000000     0.000000              NaT
...                                ...          ...              ...
2024-05-23 00:00:00-04:00  1635.305469     0.038681              NaT
2024-05-24 00:00:00-04:00  1664.845477     0.021316              NaT
2024-05-28 00:00:00-04:00  1809.045520     0.000000          15 days
2024-05-29 00:00:00-04:00  1748.985507     0.033200              NaT
2024-05-30 00:00:00-04:00  1765.085529     0.024300           2 days

[170 rows x 3 columns]","   Size  EntryBar  ...                  ExitTime         Duration
0    -7       105  ... 2024-04-22 00:00:00-04:00 53 days 23:00:00
1    14       142  ... 2024-05-30 00:00:00-04:00 38 days 00:00:00

[2 rows x 10 columns]"
2023-09-27 00:00:00-04:00,2024-05-30 00:00:00-04:00,246 days,47.647058823529406,1008.168647338867,1056.2638440551757,0.8168647338867003,24.972905973440643,1.2132640295961616,17.695176519984102,0.0685646751376545,0.09829364245723143,0.12555899511350718,-9.662900125151152,-4.240277414135172,62 days,20 days,7,57.14285714285714,3.243057012140005,-2.993269803245946,0.022186906059351585,110 days,17 days,1.061558162767437,0.03744657934014858,0.07060799126400406,SmaCross,"                                Equity  DrawdownPct DrawdownDuration
Date                                                                
2023-09-27 00:00:00-04:00  1000.000000     0.000000              NaT
2023-09-28 00:00:00-04:00  1000.000000     0.000000              NaT
2023-09-29 00:00:00-04:00  1000.000000     0.000000              NaT
2023-10-02 00:00:00-04:00  1000.000000     0.000000              NaT
2023-10-03 00:00:00-04:00  1000.000000     0.000000              NaT
...                                ...          ...              ...
2024-05-23 00:00:00-04:00   995.843800     0.057202              NaT
2024-05-24 00:00:00-04:00   997.073811     0.056037              NaT
2024-05-28 00:00:00-04:00   989.525413     0.063183              NaT
2024-05-29 00:00:00-04:00  1001.304611     0.052032              NaT
2024-05-30 00:00:00-04:00  1008.168647     0.045533          29 days

[170 rows x 3 columns]","   Size  EntryBar  ...                  ExitTime          Duration
0    -3        89  ... 2024-02-06 00:00:00-05:00   1 days 00:00:00
1    -3        90  ... 2024-02-07 00:00:00-05:00   1 days 00:00:00
2    -3        91  ... 2024-02-08 00:00:00-05:00   1 days 00:00:00
3    -3        92  ... 2024-05-28 00:00:00-04:00 109 days 23:00:00
4    -3       167  ... 2024-05-29 00:00:00-04:00   1 days 00:00:00
5    -3       168  ... 2024-05-30 00:00:00-04:00   1 days 00:00:00
6    -3       169  ... 2024-05-30 00:00:00-04:00   0 days 00:00:00

[7 rows x 10 columns]"
2023-09-27 00:00:00-04:00,2024-05-30 00:00:00-04:00,246 days,85.29411764705883,861.1636667251587,1179.837917102814,-13.88363332748413,-2.3092419179692634,-19.87388354782704,31.945365891123117,0.0,0.0,0.0,-32.820039547570175,-17.435654129962696,203 days,105 days,23,47.82608695652174,7.793320202372211,-15.693014267819416,-0.6460781613786937,71 days,10 days,0.7482883653050635,-0.49019233259057526,-0.5403489906352346,SmaCross,"                                Equity  DrawdownPct  DrawdownDuration
Date                                                                 
2023-09-27 00:00:00-04:00  1000.000000     0.000000               NaT
2023-09-28 00:00:00-04:00  1000.000000     0.000000               NaT
2023-09-29 00:00:00-04:00  1000.000000     0.000000               NaT
2023-10-02 00:00:00-04:00  1000.000000     0.000000               NaT
2023-10-03 00:00:00-04:00  1000.000000     0.000000               NaT
...                                ...          ...               ...
2024-05-23 00:00:00-04:00   829.343644     0.297070               NaT
2024-05-24 00:00:00-04:00   850.803641     0.278881               NaT
2024-05-28 00:00:00-04:00   849.323678     0.280135               NaT
2024-05-29 00:00:00-04:00   860.423650     0.270727               NaT
2024-05-30 00:00:00-04:00   861.163667     0.270100 202 days 23:00:00

[170 rows x 3 columns]","    Size  EntryBar  ...                  ExitTime         Duration
0   -104        25  ... 2023-11-02 00:00:00-04:00  1 days 00:00:00
1   -103        26  ... 2023-11-03 00:00:00-04:00  1 days 00:00:00
2    -99        27  ... 2023-11-06 00:00:00-05:00  3 days 01:00:00
3   -103        28  ... 2023-11-07 00:00:00-05:00  1 days 00:00:00
4   -117        29  ... 2023-12-19 00:00:00-05:00 42 days 00:00:00
5    -85        58  ... 2023-12-20 00:00:00-05:00  1 days 00:00:00
6    -84        59  ... 2023-12-21 00:00:00-05:00  1 days 00:00:00
7    -83        60  ... 2024-02-21 00:00:00-05:00 62 days 00:00:00
8    -92       100  ... 2024-02-22 00:00:00-05:00  1 days 00:00:00
9    -95       101  ... 2024-02-23 00:00:00-05:00  1 days 00:00:00
10   -96       102  ... 2024-02-26 00:00:00-05:00  3 days 00:00:00
11   -94       103  ... 2024-02-27 00:00:00-05:00  1 days 00:00:00
12   -91       104  ... 2024-02-28 00:00:00-05:00  1 days 00:00:00
13   -94       105  ... 2024-02-29 00:00:00-05:00  1 days 00:00:00
14   -90       106  ... 2024-03-01 00:00:00-05:00  1 days 00:00:00
15   -92       107  ... 2024-03-04 00:00:00-05:00  3 days 00:00:00
16   -92       108  ... 2024-03-05 00:00:00-05:00  1 days 00:00:00
17  -101       109  ... 2024-03-06 00:00:00-05:00  1 days 00:00:00
18  -107       110  ... 2024-03-07 00:00:00-05:00  1 days 00:00:00
19  -103       111  ... 2024-05-17 00:00:00-04:00 70 days 23:00:00
20   -75       161  ... 2024-05-20 00:00:00-04:00  3 days 00:00:00
21   -73       162  ... 2024-05-21 00:00:00-04:00  1 days 00:00:00
22   -74       163  ... 2024-05-30 00:00:00-04:00  9 days 00:00:00

[23 rows x 10 columns]"
2023-09-27 00:00:00-04:00,2024-05-30 00:00:00-04:00,246 days,27.647058823529413,972.5560490381105,1034.8944002343997,-2.7443950961889527,33.32615413327153,-4.04110679288493,8.196987081475715,0.0,0.0,0.0,-8.555576207301375,-4.692006206249899,30 days,22 days,27,48.148148148148145,2.625218709245225,-6.118813232414122,-0.2227288212027112,29 days,3 days,0.670675503459983,-0.2105602230225942,-0.6671551784970098,SmaCross,"                                Equity  DrawdownPct DrawdownDuration
Date                                                                
2023-09-27 00:00:00-04:00  1000.000000     0.000000              NaT
2023-09-28 00:00:00-04:00  1000.000000     0.000000              NaT
2023-09-29 00:00:00-04:00  1000.000000     0.000000              NaT
2023-10-02 00:00:00-04:00  1000.000000     0.000000              NaT
2023-10-03 00:00:00-04:00  1000.000000     0.000000              NaT
...                                ...          ...              ...
2024-05-23 00:00:00-04:00   956.420516     0.075828              NaT
2024-05-24 00:00:00-04:00   948.391749     0.083586              NaT
2024-05-28 00:00:00-04:00   946.353221     0.085556              NaT
2024-05-29 00:00:00-04:00   946.950449     0.084979              NaT
2024-05-30 00:00:00-04:00   972.556049     0.060236          30 days

[170 rows x 3 columns]","    Size  EntryBar  ...                  ExitTime  Duration
0     -2       123  ... 2024-03-26 00:00:00-04:00    1 days
1     -2       124  ... 2024-03-27 00:00:00-04:00    1 days
2     -2       125  ... 2024-03-28 00:00:00-04:00    1 days
3     -2       126  ... 2024-04-01 00:00:00-04:00    4 days
4     -2       127  ... 2024-04-02 00:00:00-04:00    1 days
5     -2       128  ... 2024-04-03 00:00:00-04:00    1 days
6     -2       129  ... 2024-04-04 00:00:00-04:00    1 days
7     -2       130  ... 2024-04-05 00:00:00-04:00    1 days
8     -2       131  ... 2024-04-08 00:00:00-04:00    3 days
9     -2       132  ... 2024-04-09 00:00:00-04:00    1 days
10    -2       133  ... 2024-04-10 00:00:00-04:00    1 days
11    -2       134  ... 2024-04-11 00:00:00-04:00    1 days
12    -2       135  ... 2024-04-12 00:00:00-04:00    1 days
13    -2       136  ... 2024-04-15 00:00:00-04:00    3 days
14    -2       137  ... 2024-04-16 00:00:00-04:00    1 days
15    -2       138  ... 2024-04-17 00:00:00-04:00    1 days
16    -2       139  ... 2024-04-18 00:00:00-04:00    1 days
17    -2       140  ... 2024-04-19 00:00:00-04:00    1 days
18    -2       141  ... 2024-04-22 00:00:00-04:00    3 days
19    -2       142  ... 2024-04-23 00:00:00-04:00    1 days
20    -2       143  ... 2024-04-24 00:00:00-04:00    1 days
21    -2       144  ... 2024-05-23 00:00:00-04:00   29 days
22    -2       165  ... 2024-05-24 00:00:00-04:00    1 days
23    -2       166  ... 2024-05-28 00:00:00-04:00    4 days
24    -2       167  ... 2024-05-29 00:00:00-04:00    1 days
25    -2       168  ... 2024-05-30 00:00:00-04:00    1 days
26    -2       169  ... 2024-05-30 00:00:00-04:00    0 days

[27 rows x 10 columns]"
2023-09-27 00:00:00-04:00,2024-05-30 00:00:00-04:00,246 days,20.588235294117645,974.0517246592625,1039.4093549198142,-2.5948275340737497,5.233307308907633,-3.8222698532608512,7.275988579932389,0.0,0.0,0.0,-7.640252943771342,-3.9112450402853325,42 days,23 days,25,40.0,1.751832233671613,-2.1297704129904615,-0.15607174257761258,10 days,2 days,0.6547459489355327,-0.15173485377098306,-0.822610174831143,SmaCross,"                                Equity  DrawdownPct DrawdownDuration
Date                                                                
2023-09-27 00:00:00-04:00  1000.000000     0.000000              NaT
2023-09-28 00:00:00-04:00  1000.000000     0.000000              NaT
2023-09-29 00:00:00-04:00  1000.000000     0.000000              NaT
2023-10-02 00:00:00-04:00  1000.000000     0.000000              NaT
2023-10-03 00:00:00-04:00  1000.000000     0.000000              NaT
...                                ...          ...              ...
2024-05-23 00:00:00-04:00   962.788789     0.073715              NaT
2024-05-24 00:00:00-04:00   964.446861     0.072120              NaT
2024-05-28 00:00:00-04:00   965.109514     0.071483              NaT
2024-05-29 00:00:00-04:00   959.995851     0.076403              NaT
2024-05-30 00:00:00-04:00   974.051725     0.062880          42 days

[170 rows x 3 columns]","    Size  EntryBar  ...                  ExitTime  Duration
0     10       135  ... 2024-04-12 00:00:00-04:00    1 days
1     10       136  ... 2024-04-15 00:00:00-04:00    3 days
2     10       137  ... 2024-04-19 00:00:00-04:00    4 days
3     10       141  ... 2024-04-22 00:00:00-04:00    3 days
4     10       142  ... 2024-04-23 00:00:00-04:00    1 days
5     10       143  ... 2024-04-24 00:00:00-04:00    1 days
6     10       144  ... 2024-04-25 00:00:00-04:00    1 days
7     10       145  ... 2024-04-26 00:00:00-04:00    1 days
8     10       146  ... 2024-04-29 00:00:00-04:00    3 days
9     10       147  ... 2024-04-30 00:00:00-04:00    1 days
10    10       148  ... 2024-05-10 00:00:00-04:00   10 days
11    10       156  ... 2024-05-13 00:00:00-04:00    3 days
12    10       157  ... 2024-05-14 00:00:00-04:00    1 days
13    10       158  ... 2024-05-15 00:00:00-04:00    1 days
14    10       159  ... 2024-05-16 00:00:00-04:00    1 days
15    10       160  ... 2024-05-17 00:00:00-04:00    1 days
16    10       161  ... 2024-05-20 00:00:00-04:00    3 days
17    10       162  ... 2024-05-21 00:00:00-04:00    1 days
18    10       163  ... 2024-05-22 00:00:00-04:00    1 days
19    10       164  ... 2024-05-23 00:00:00-04:00    1 days
20    10       165  ... 2024-05-24 00:00:00-04:00    1 days
21    10       166  ... 2024-05-28 00:00:00-04:00    4 days
22    10       167  ... 2024-05-29 00:00:00-04:00    1 days
23    10       168  ... 2024-05-30 00:00:00-04:00    1 days
24    10       169  ... 2024-05-30 00:00:00-04:00    0 days

[25 rows x 10 columns]"
2023-09-27 00:00:00-04:00,2024-05-30 00:00:00-04:00,246 days,0.0,1000.0,1000.0,0.0,-66.7307684078254,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,SmaCross,"                           Equity  DrawdownPct  DrawdownDuration
Date                                                            
2023-09-27 00:00:00-04:00  1000.0          0.0               NaN
2023-09-28 00:00:00-04:00  1000.0          0.0               NaN
2023-09-29 00:00:00-04:00  1000.0          0.0               NaN
2023-10-02 00:00:00-04:00  1000.0          0.0               NaN
2023-10-03 00:00:00-04:00  1000.0          0.0               NaN
...                           ...          ...               ...
2024-05-23 00:00:00-04:00  1000.0          0.0               NaN
2024-05-24 00:00:00-04:00  1000.0          0.0               NaN
2024-05-28 00:00:00-04:00  1000.0          0.0               NaN
2024-05-29 00:00:00-04:00  1000.0          0.0               NaN
2024-05-30 00:00:00-04:00  1000.0          0.0               NaN

[170 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []"
2023-09-27 00:00:00-04:00,2024-05-30 00:00:00-04:00,246 days,0.0,1000.0,1000.0,0.0,160.23099836294827,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,SmaCross,"                           Equity  DrawdownPct  DrawdownDuration
Date                                                            
2023-09-27 00:00:00-04:00  1000.0          0.0               NaN
2023-09-28 00:00:00-04:00  1000.0          0.0               NaN
2023-09-29 00:00:00-04:00  1000.0          0.0               NaN
2023-10-02 00:00:00-04:00  1000.0          0.0               NaN
2023-10-03 00:00:00-04:00  1000.0          0.0               NaN
...                           ...          ...               ...
2024-05-23 00:00:00-04:00  1000.0          0.0               NaN
2024-05-24 00:00:00-04:00  1000.0          0.0               NaN
2024-05-28 00:00:00-04:00  1000.0          0.0               NaN
2024-05-29 00:00:00-04:00  1000.0          0.0               NaN
2024-05-30 00:00:00-04:00  1000.0          0.0               NaN

[170 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []"
